CountryID,Q14_PD1,Q14_PD2,Q14_PD3,Q14_PD4,Q14_PD5,Q14_PD6,Q14_PD7,Q14_PD8,Q14_PD9,Q14_PD10,Q14_PD11,Q14_PD12,Q14_PD13,Q14_PD14,Q14_PD15,Q14_PD16,Q14_PD17,Q14_PD18,Q14_PD19,Q14_PD20,Q14_PD21,Q14_PD22,Q14_PD23,Q14_PD24,Q21_PD1,Q21_PD2,Q21_PD3,Q21_PD4,Q21_PD5,Q21_PD6,Q21_PD7,Q21_PD8,Q21_PD9,Q21_PD10,Q21_PD11,Q21_PD12,Q21_PD13,Q21_PD14,Q21_PD15,Q21_PD16,Q21_PD17,Q21_PD18,Q21_PD19,Q21_PD20,Q21_PD21,Q21_PD22,Q21_PD23,Q21_PD24,Q25_PD1,Q25_PD2,Q25_PD3,Q25_PD4,Q25_PD5,Q25_PD6,Q25_PD7,Q25_PD8,Q25_PD9,Q25_PD10,Q25_PD11,Q25_PD12,Q25_PD13,Q25_PD14,Q25_PD15,Q25_PD16,Q25_PD17,Q25_PD18,Q25_PD19,Q25_PD20,Q25_PD21,Q25_PD22,Q25_PD23,Q25_PD24,Q21_PT1,Q21_PT2,Q21_PT3,Q21_PT4,Q21_PT5,Q21_PT6,Q21_PT7,Q21_PT8,Q21_PT9,Q21_PT10,Q21_PT11,Q21_PT12,Q21_PT13,Q21_PT14,Q21_PT15,Q21_PT16,AidDataID,orgname
98,4.025252,4.666667,,4,,3.666667,,2,,,4.375,,1.666667,,2.111111,,2.6,,,,1.75,,3,1.5,3.611111,1,,2.75,,3.916667,,3.666667,,,2.75,,5,,2,,4.8,,,,1.75,,5,2.307692,4.055555,,,2,,3.833333,,3,,,3.75,,4,,2.25,,3,,,,3.5,,2,2,3.916667,2.4375,3,3,,,3.145833,1.75,,,1.75,2.527778,,3.666667,,,110593742,Republic of Senegal
99,2.416667,,,,,,2,,,,,2,,,,,,,,,1.2,,1.5,,1.153846,,4,,,3.666667,3.214286,,,,,,2.666667,,,3,,3,3,2.666667,0.9,,2.3,2.2,3,,,,,,3,,,,,,,,,,,,,,2.8,,2,,2.720238,3.031746,,,2.633333,,3.142857,2.705555,3.333333,,,2.8,,,2.8,,110593615,Republic of Serbia
101,,4.25,,,,,2.7375,,,3,2.636364,,,,,,,2,3.185185,3.152778,,,,,,2.25,,1.75,,,2.1375,,3.1875,5,1.636364,,,,,,3,0.8333333,2.833333,1.851852,,,,3.083333,,,,2,,,3.5,,,,3.333333,,,,,,,1.95,3.208333,2.857143,,,,,2.569712,1.583333,1.666667,3,1.475926,,,3.005556,3.666667,1.041667,1.2,2,0.3333333,,3,2.791667,110593696,Republic of Sierra Leone
102,,,3,,,3.754148,,,3.4,,3.5,3.714286,,,2.9375,,,,,,,,,,,,3.916667,,,2.348297,,,3.2625,,1.5,2.714286,,,1.9375,,2.333333,,,,,,,,,,4.5,,,2.805861,,,2.3375,,1,4.666667,,,3.8125,,,,,,,,,,2.034281,2.5,2.857143,,3.333333,2.714286,4.333333,2.405545,2.375,,,2.5,3,,3.125,,110593616,Solomon Islands
103,,3.6,2.909091,,,4,,,1,,4.375,,4,,,,5,2.583333,3.818182,,,,,2.571429,3,2.55,2.564655,,,2.295455,,,5,,3.444444,,,,3.75,,1.888889,2.583333,2.454545,2.571429,,,,2.666667,,5,1,,,2,,,4,,3,,,,,,,3.444444,2.818182,,,,,3.833333,2.920455,1.888889,2.666667,2.090909,1.888889,,,2.399663,,,3.444444,2.090909,2.5,2.5,2.571429,3.75,110593748,Federal Republic of Somalia
104,2.590909,3.2,2.340909,,,3.819444,,1.375,,,1,2.797824,,,,,,,,,,,,3.75,2.772727,2.333333,2.090909,,,1.717172,,0.375,1.975,,2,2.227627,,,,,,3.392157,,1.714286,,,1.7,2.44,4.2,3,3,,,2.833333,,1.333333,,,,3.083333,,,,,,,,,,,,4.2,2.979539,2.589394,,,,,2.709596,1.253968,,,,2.103355,2.674208,3.117647,1.459524,2,,Somaliland
105,3,,,,,,,,,2.5,1.5,5,,,3.857143,,,1.5,3,4.090909,,,,3.501089,2,,,,,,,3.5,,1.25,0.75,2,,,2.3125,,,0,2.25,4.181818,,,,1.571895,2.5,,,,,,,,,3.5,2,,,,3.833333,,,,3,4,,,,3.583333,1.875,2.25,2,2.75,4.181818,,1.588235,3.340909,,2,,1.5,,,,,84,Republic of South Africa
106,4.444445,2.5,,,,4.166667,4,,,,,,4.583333,,,,,,,,,,2.375,,3.222222,2.5,,,,2.829545,4.5,,,,,,2.692308,,,,,3.2,,,,,1.375,3.222222,4,5,,,,3.375,5,,,,,,3.571429,,,,,,,,,,3,,3.647436,2.5,,,,,,5,4.5,,,2.565657,,,3.222222,3.486111,110593758,Republic of South Sudan
107,3.95,,3.285714,3.666667,2.625,4,5,,,3,1.833333,,,,3.5,,,,,,,,,2.375,2.433333,,2.285714,2.075758,1.555556,3,1.944444,4,,2.592592,1.833333,,,,2.5625,,,,,0.5833333,,,,2.045455,3.4375,,3.4,,,,4.5,,,4,,,,,3,,,,,,,,,2,2.449074,3.071429,3.333333,,,,2.125,2.222222,,2.809524,2,0.5833333,,,1.958333,0.8181818,110593495,Democratic Socialist Republic of Sri Lanka
108,,,4,,,,,,3.333333,,,,4,,,,4,,3.5,,,,,,,,3.116667,1.825,,,,,2.833333,,3.333333,2.916667,3,,,,2.472222,3.575,2.875,4.611111,,,4,2.833333,,,3.333333,,,,,,3,,,,4,,,,2.5,,4,,,,,,3,3.561111,4.222222,2.5,2.629167,,,2.854167,2.833333,2.11875,4,3,2.555556,,,,110593752,Republic of Sudan
109,3.577778,4.233333,3,3.5,3.25,4.35,,,,,,,5,,5,,5,,2.333333,2.571429,,,3.875,,3.801389,2.5,1.666667,2.5,2.75,3.214103,2.416667,,,,,,2.666667,,2.9709,,3.35,,2.833333,2.233333,,,2.611111,,4.34375,3.916667,4.333333,4.5,2.833333,4.166667,,,,,,,5,,3.3125,,4,,4,2.333333,,,2.8,,2.2575,2.569445,2.283476,2,2.916667,,2.665833,3.020833,2.729167,0,2.933333,3.416667,3.414103,3.833333,,,110593753,Republic of Suriname
110,3.4,3.75,,,,1.602679,3.166667,,,,,,,,,,4.8,5,3,,,,,3,0.6,1,,,,0.1428571,2.428571,,,2,2,,,,2.833333,,,1.5,,,,,,1,3,3,,,,,1.833333,,,,,,,,,,,3.4,,,,,,,1.214286,,,,,,,,,,,,0,,,,110593704,Kingdom of Swaziland
111,,2.5,3,3.1,,,4.071428,3.571429,,,2,2.2,,1.666667,3.7,,,3.479167,,2.625,,,,,2.4,2,1.875,2.2,,3.5,2.952381,4.261905,,2,,2.893939,,0.4444444,2.5,3,,3.002976,,2.643939,,,1.666667,2.107143,,3,3,2.5,,,3.666667,3.142857,,,,4.4,,3.5,3,,,4,,2.916667,,,,,2.123016,1.587963,,,2.675,1.947368,1.333333,2.539307,2.875,1.947368,2.5,2.561111,2.973684,3,2.762626,3.583333,110593689,Syrian Arab Republic
112,,,,,,3.666667,3.4,,,,4.888889,3.612255,2.333333,,,,,,,,,3.333333,,,2.727273,,,,,2.738095,,,,,2.444444,3.459087,1.333333,,3,,,3.208333,2.923077,3.2,,1.6,2,,,,,,,4,,,,,3,2.98,1.8,,3.666667,,,,,,,5,,,2.25,1.774074,2.461538,,3.101136,,2,2.987179,3,,0.6153846,3.418803,,,,,110593746,Republic of Tajikistan
113,,,,3.846154,,,5,3.285714,,,2.571429,,,,3.692308,,2,,,,,,3.384615,,,,,2.294872,,,1.611111,3.428571,,,,,,,2.384615,,3.1875,1.95,,,,,3.153846,3.333333,,,,5,,,4.142857,2.952381,,,,,,,4,,3.333333,,,,,,4.714286,,2.384615,2.405952,,,3.1875,,,3.222222,,,,,,,,,110593754,United Republic of Tanzania
114,2.333333,5,,3.333333,2.666667,2.753968,3.375,,3.666667,3,3,3,,,,,2,3.333333,,,,,,,2.346405,,,0.5555556,2.285714,2.690476,1.231481,,1.25,2.5,2.333333,2.5,,,,,3,2.905714,,1.5,,,,1.647059,3,,,3,2.5,4.166667,2.633333,,3,3.5,3,3.2,,,,,2,,,,,,,,1.587302,1.777778,0.4444444,,1.905556,0.4444444,,2.101852,0.6,0.5555556,3,2.035714,,2.333333,0.6,,85,Thailand
115,3.644444,4.222222,,2.5,2.8,,,,,3.5,3.111111,,,5,4.5,3,4,,,,,,2.7,1.714286,2.738095,2.145707,,3,,2,,,,1.75,2.055556,,,,0,4,3.5,,4,,,,2.833333,1.864583,3.5,2.25,,3.5,,2,,,,5,4,,,5,3.5,3,3,,5,,,,3.333333,2.9,1.621212,2.555556,1,,2,,0,,,,,2.787037,,,,,110593739,Democratic Republic of Timor-Leste
116,,,,,,,,,,,,,,,,,,,,,,,,,,0.9473684,,,1.533333,,1.5,,,,2,,,,,,,1.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5714286,3,,,2.204167,,,1.5,0,0.9473684,,3,,,,,110593755,Togolese Republic
117,5,,,,,,2,,1.75,,4.181818,,5,,2.285714,,,2.625,,3,2.428571,,3,,1.473684,,,,,,,,,,3.5,,2.928571,,4.071429,,,1.583333,,0,2.142857,,2.942857,,2.666667,,,,,,,,,,3.625,,2,,4.571429,,,1.777778,,,5,,3,,4,1.5,3.285714,,0,,,1.473684,,,,2.375564,,,,2.142857,110593651,Kingdom of Tonga
118,3.833333,,,,2.803226,4.083333,5,,3.857143,,,,2.625,,3.886364,5,2.4,,2.74881,4.363636,,,4.094203,,2.566667,,,,1.645161,3.966667,2.583333,,3.577381,3.5,3.844444,4,1.53125,,2.655844,3.474748,2.988889,3,2.25119,3.272727,,,2.02004,,2.975,,,,3.055556,3.014286,4.5,,4,,,,3.263889,,2.375,5,,,2.571429,3.666667,,,3.144737,,3.131883,2.622619,3.489979,3.1,2.690159,,2.539682,3.366667,2.204545,,3.083333,3.730844,2.832579,3.176136,,3,110593682,Tunisian Republic
119,4.166667,,,4,4.65,,,4,,,3.333333,,,,,,,5,5,,,,,3,,,1,2.833333,3.1,,,,,,2.333333,,,,2.125,,1,2.250266,2.583333,3.25,,,2.75,0.8055556,,,,3,4.277778,,,,,,4,,,,,,,3.428571,2.75,,,,,1.5,2.447917,2.569079,,2.125,2.390643,,3.1,3.5,,2.85,,3.2,1.944976,0.5263158,,1.666667,110593633,Republic of Turkey
120,,3,,,,,,,,,,,,,,,,,,,,5,,,1.9375,3.6,2.666667,,,,,,1.8375,1.5,,2.894737,,,,,,2.392157,,,,2.5,,,,4,,,,,,,,,,,,,,,,,,,,2.25,,,,,2.4375,2.217391,1.754902,,3,,2.217391,,2.375,2.894737,3.088235,,,,110593499,Turkmenistan
121,4.09375,1.777778,4.8,,,3.875,4.136364,2.454545,,,4.75,3.438312,,,2.9125,,,,,,,,2.307692,,3.46875,2.384615,4.6,,,2.55,3.17094,2.636364,,3,2.916667,,1.125,,2.654167,,2.666667,,,2,,,1.361538,3.134615,3.678571,,5,,,3.8,3.883333,4.833333,,,4,,,,3.071429,,,,,,,,3.75,,2.831303,2.963462,2.641026,,2.666667,2,1.950041,2.666667,3.708333,,,3.102273,3.6,,,2.666667,110593649,Tuvalu
122,,,,,4,3.5,4.222222,,,,1.2,,,,,,4.75,,4.6,,,,1.421053,,,,5,,3.458333,2.333333,2.958333,,,,4.4,1.857143,,,1.555556,,4,,3.033333,,,,2.708333,3.166667,,,,,4,,3.214286,,,,4.5,,,,,,5,,3,,,,,,,4.083333,,,3.534722,,,3.419048,,,,2.833333,,,2.333333,2.333333,110593756,Republic of Uganda
123,,4,,2,2.333333,2.95,2.952381,,3.054167,,2.75,3.916667,,2,3.7375,3.866667,3.833333,,,,,,3.145833,,2.666667,1.375,0,2,2.966667,2.221875,2.628261,,1.833333,,2.111111,3.015873,,1,2.480556,2.691667,3.85,2.666667,3.25,2.864493,,,2.083333,3.622374,,3.666667,,,2.75,2.18254,2.986111,,3,,3.625,2.65,,,2.729167,2.711111,3.1,,3.5,,,,2.666667,,2.653891,2.669626,2.111111,1.479167,2.721665,,1.827778,2.384594,1.991697,,2.25,2.241711,2.407408,3.6,2.7,3.5,110593634,Ukraine
124,3.6875,1.888462,4.444445,3.166667,4.666667,4.25,,,4.833333,5,,2.430451,5,,5,2.4,,,5,,3.774074,5,3.9,2.230769,2.5,2.223077,2.350427,2.478291,1.5,2.287202,,,4.666667,,2.416667,2.106908,2.583333,,2.35,,2.708333,3.555556,3.125,,3.314815,2.6,2.166667,1.357143,3.729167,2.775,3.916667,3.277778,2.571429,3.453704,,,4.4,,,2.716667,3.25,,4,,,,2.5,,2.966667,4,4,4.272727,1.973422,2.701389,2.583333,2.79085,2.794312,,1.916667,2.367188,2.5,1.980392,1.666667,1.74256,3.5,1.166667,4,,110593498,Republic of Uzbekistan
126,4.5,,4.25,,3.285714,3.412698,3.090909,3.25,,,3,,,,5,,,,,,,,,,2.884615,,2.602273,,1.5,3.484127,2.640909,3.041667,,,3.333333,2.314035,,2,1.6,,3.25,2.731798,3,,,,2.375,,3.4,,4,,4,3.395833,4.166667,2,,,3,,,2.5,3.2,,,,,,,,,,2.418948,2.275,3.261364,,2.021491,,2.600086,3.126786,2.65,1.5,1.6,2.80303,3.111111,3.25,4.631579,3.333333,110593676,Republic of Vanuatu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110593738,Socialist Republic of Vietnam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110593699,Republic of Yemen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110593740,Republic of Zambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zanzibar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110593686,Republic of Zimbabwe
