DID,Donor,AidDataID,Address,,CountryID,ISO-3,Recipient,CountryShort,AidDataID,Address
56,Inter-American Development Bank,20,,,28,COG,Republic of Congo,Congo,110593671,
57,International Fund for Agricultural Development,24,,,29,CIV,Republic of Côte D'Ivoire,Côte D'Ivoire,110593618,
58,International Monetary Fund,63,,,30,CUB,Republic of Cuba,Cuba,110593703,
59,Iran,110593637,,,31,DJI,Republic of Djibouti,Djibouti,110593700,
61,Ireland,29,,,32,DOM,Dominican Republic,Dominican Republic,110593725,
64,Islamic Development Bank,27,,,33,ECU,Republic of Ecuador,Ecuador,110593717,
65,Japan,30,,,34,EGY,Arab Republic of Egypt,Egypt,67524742,
69,Kuwait,61,,,35,SLV,Republic of El Salvador,El Salvador,110593726,
72,Libya,110593653,,,36,GNQ,Republic of Equatorial Guinea,Equatorial Guinea,110593491,
75,Luxembourg,31,,,37,ERI,State of Eritrea,Eritrea,110593714,
78,Netherlands,37,,,38,ETH,Federal Democratic Republic of Ethiopia,Ethiopia,110593677,
80,New Zealand,38,,,39,FJI,Republic of Fiji,Fiji,110593624,
83,Norway,40,,,40,GMB,Republic of Gambia,Gambia,110593678,
87,OPEC Fund for International Development,41,,,41,GEO,Georgia,Georgia,110593712,
88,Poland,110593558,,,42,GHA,Republic of Ghana,Ghana,110593681,
90,Portugal,43,,,43,GTM,Republic of Guatemala,Guatemala,110593707,
92,Qatar,65,,,44,GIN,Republic of Guinea,Guinea,110593481,
94,Russia,110593563,,,45,GNB,Republic of Guinea-Bissau,Guinea-Bissau,110593683,
96,Saudi Arabia,60,,,46,GUY,Cooperative Republic of Guyana,Guyana,110593716,
99,South Africa,84,,,47,HTI,Republic of Haiti,Haiti,110593708,
101,South Korea,40497946,,,48,HND,Republic of Honduras,Honduras,110593642,
104,Spain,45,,,49,IND,Republic of India,India,4653485,
107,Sweden,46,,,50,IDN,Republic of Indonesia,Indonesia,110593422,
110,Switzerland,47,,,51,IRN,Islamic Republic of Iran,Iran,110593637,
113,Taiwan,3298046,,,52,IRQ,Republic of Iraq,Iraq,110593636,
116,Turkey,110593633,,,53,JAM,Jamaica,Jamaica,110593643,
119,United Arab Emirates,86,,,54,JOR,Hashemite Kingdom of Jordan,Jordan,110593635,
122,United Kingdom,51,,,55,KAZ,Republic of Kazakhstan,Kazakhstan,110593537,
125,United Nations,112064776,,,56,KEN,Republic of Kenya,Kenya,110593663,
126,United Nations Children's Fund,50,,,57,KIR,Republic of Kiribati,Kiribati,110593745,
127,United Nations Development Program,48,,,58,PRK,Democratic People's Republic of Korea,North Korea,110593659,
128,United States,52,,,59,XKX,Republic of Kosovo,Kosovo,110593732,
132,Venezuela,110593750,,,60,KUI,Kurdistan,Kurdistan,,"Kurdistan Parliament, 60 Meter St, Erbil, Iraq"
136,World Bank,112064771,,,61,KGZ,Kyrgyz Republic,Kyrgyzstan,,
,,,,,62,LAO,Lao People's Democratic Republic,Laos,110593658,
,,,,,63,LSO,Kingdom of Lesotho,Lesotho,110593664,
,,,,,64,LBR,Republic of Liberia,Liberia,110593665,
,,,,,65,MKD,Republic of Macedonia,Macedonia,110593734,
,,,,,66,MDG,Republic of Madagascar,Madagascar,110593667,
