Code,ISO-3,CountryLong,CountryShort
C53,JAM,Jamaica,Jamaica
C54,JOR,Hashemite Kingdom of Jordan,Jordan
C55,KAZ,Republic of Kazakhstan,Kazakhstan
C56,KEN,Republic of Kenya,Kenya
C57,KIR,Republic of Kiribati,Kiribati
C58,PRK,Democratic People's Republic of Korea,North Korea
C59,XKX,Republic of Kosovo,Kosovo
C60,KUI,Kurdistan,Kurdistan
C61,KGZ,Kyrgyz Republic,Kyrgyzstan
C62,LAO,Lao People's Democratic Republic,Laos
C63,LSO,Kingdom of Lesotho,Lesotho
C64,LBR,Republic of Liberia,Liberia
C65,MKD,Republic of Macedonia,Macedonia
C66,MDG,Republic of Madagascar,Madagascar
C67,MWI,Republic of Malawi,Malawi
C68,MDV,Republic of Maldives,Maldives
C69,MLI,Republic of Mali,Mali
C70,MHL,Republic of Marshall Islands,Marshall Islands
C71,MRT,Islamic Republic of Mauritania,Mauritania
C72,FSM,Federated States of Micronesia,Federated States of Micronesia
C73,MDA,Republic of Moldova,Moldova
C74,MNG,Mongolia,Mongolia
C75,MNE,Montenegro,Montenegro
C76,MAR,Kingdom of Morocco,Morocco
C77,MOZ,Republic of Mozambique,Mozambique
C78,MMR,Republic of Union of Myanmar,Myanmar
C79,NAM,Republic of Namibia,Namibia
C80,NPL,Federal Democratic Republic of Nepal,Nepal
C81,NIC,Republic of Nicaragua,Nicaragua
C82,NER,Republic of Niger,Niger
C83,NGA,Federal Republic of Nigeria,Nigeria
C84,PAK,Islamic Republic of Pakistan,Pakistan
C85,PSE,State of Palestine,Palestine
C86,PNG,Independent State of Papua New Guinea,Papua New Guinea
C87,PRY,Republic of Paraguay,Paraguay
C88,PER,Republic of Peru,Peru
C89,PHL,Republic of Philippines,Philippines
C90,PSM,Puntland,Puntland
C91,ROU,Romania,Romania
C92,RWA,Republic of Rwanda,Rwanda
C93,WSM,Independent State of Samoa,Samoa
C94,STP,Democratic Republic of Sao Tome and Principe,Sao Tome and Principe
C95,SEN,Republic of Senegal,Senegal
C96,SRB,Republic of Serbia,Serbia
C97,SLE,Republic of Sierra Leone,Sierra Leone
C98,SLB,Solomon Islands,Solomon Islands
C99,SOM,Federal Republic of Somalia,Somalia
C100,SSM,Somaliland,Somaliland
C101,ZAF,Republic of South Africa,South Africa
C102,SSD,Republic of South Sudan,South Sudan
C103,LKA,Democratic Socialist Republic of Sri Lanka,Sri Lanka
C104,SDN,Republic of Sudan,Sudan
C105,SUR,Republic of Suriname,Suriname
C106,SWZ,Kingdom of Swaziland,Swaziland
C107,SYR,Syrian Arab Republic,Syria
C108,TJK,Republic of Tajikistan,Tajikistan
C109,TZA,United Republic of Tanzania,Tanzania
C110,THA,Kingdom of Thailand,Thailand
C111,TLS,Democratic Republic of Timor-Leste,Timor-Leste
C112,TGO,Togolese Republic,Togo
C113,TON,Kingdom of Tonga,Tonga
C114,TUN,Tunisian Republic,Tunisia
C115,TUR,Republic of Turkey,Turkey
C116,TKM,Turkmenistan,Turkmenistan
C117,TUV,Tuvalu,Tuvalu
C118,UGA,Republic of Uganda,Uganda
C119,UKR,Ukraine,Ukraine
C120,UZB,Republic of Uzbekistan,Uzbekistan
C121,VUT,Republic of Vanuatu,Vanuatu
C122,VNM,Socialist Republic of Vietnam,Vietnam
C123,YEM,Republic of Yemen,Yemen
C124,ZMB,Republic of Zambia,Zambia
C125,EAZ,Zanzibar,Zanzibar
C126,ZWE,Republic of Zimbabwe,Zimbabwe
